"name","genre","segment","address","city","venue","local_date","local_time","url"
"Behzat Uygur","Theatre","Arts & Theatre","Emniyet, Gazeteci Yazar Muammer Yaşar Bostancı Sk., 06560","Ankara","MEB Şura Salonu","2024-02-27","20:00:00","https://www.biletix.com/performance/3MK44/001/TURKIYE/tr"
"Oğuz Kont","Rock","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","6:45 KK Ankara","2024-02-27","22:00:00","https://www.biletix.com/performance/3HM06/001/TURKIYE/tr"
"Edip Tüfekçi","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","Bergüzar Sahne","2024-02-27","20:00:00","https://www.biletix.com/performance/3KYCS/004/TURKIYE/tr"
"Süheyl ve Behzat Uygur Tiyatrosu","Theatre","Arts & Theatre","Emniyet, Gazeteci Yazar Muammer Yaşar Bostancı Sk., 06560","Ankara","MEB Şura Salonu","2024-02-27","20:00:00","https://www.biletix.com/performance/3MJR5/001/TURKIYE/tr"
"Metin Coşkun","Theatre","Arts & Theatre","İvedik Caddesi Yenimahalle Belediyesi yanı Yenimahalle /Ankara","Ankara","Yenimahalle Bld.4 Mevsim Tiyatro Salonu","2024-02-27","20:00:00","https://www.biletix.com/performance/3YL05/001/TURKIYE/tr"
"Genco Erkal","Theatre","Arts & Theatre","Bilkent Center","Ankara","Ankara Sanat Tiyatrosu","2024-02-27","20:00:00","https://www.biletix.com/performance/32947/001/TURKIYE/tr"
"Murat Çidamlı","Theatre","Arts & Theatre","Maltepe Mahallesi, Müjde Sk. No:14, 06570","Ankara","Yılmaz Güney Stage","2024-02-28","20:00:00","https://www.biletix.com/performance/3ZV41/001/TURKIYE/tr"
"Erdal Beşikçioğlu","Theatre","Arts & Theatre","Güneş Sok. No: 21","Ankara","Tatbikat Stage Ankara","2024-02-28","20:30:00","https://www.biletix.com/performance/36S45/001/TURKIYE/tr"
"Serla Balkarlı","Classical","Music","Nilgün Sokak, 14/2","Ankara","Mozarthaus Sanat ve Konser Evi","2024-02-28","20:00:00","https://www.biletix.com/performance/3IG34/001/TURKIYE/tr"
"Ayşe Günyüz Demirci","Theatre","Arts & Theatre","İvedik Caddesi Yenimahalle Belediyesi yanı Yenimahalle /Ankara","Ankara","Yenimahalle Bld.4 Mevsim Tiyatro Salonu","2024-02-28","20:00:00","https://www.biletix.com/performance/3RS26/001/TURKIYE/tr"
"Bizimkiler","Alternative","Music",NULL,"Ankara","IF Sokak Tepe Prime","2024-02-28","21:00:00","https://www.biletix.com/performance/3RX35/001/TURKIYE/tr"
"Burak Bulut","World","Music","Besa Kule İş Merkezi Çukurambar, 1480. Sk., 06510","Ankara","Three Çukurambar","2024-02-28","23:00:00","https://www.biletix.com/performance/3MAM5/001/TURKIYE/tr"
"Hakan Yılmaz","Theatre","Arts & Theatre","Urankent Girişi, No: 50","Ankara","Nazım Hikmet Culture Center","2024-02-28","20:00:00","https://www.biletix.com/performance/3BLTW/001/TURKIYE/tr"
"Ayçin Asan","Pop","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","6:45 KK Ankara","2024-02-28","22:00:00","https://www.biletix.com/performance/3F602/001/TURKIYE/tr"
"Zemin kat","Alternative","Music","Tunus Cad. No:14/A","Ankara","IF Performance Hall","2024-02-28","21:30:00","https://www.biletix.com/performance/3GC18/001/TURKIYE/tr"
"Jekyll & Hyde","Theatre","Arts & Theatre","Söğütözü Cad. No:1/A","Ankara","Congresium Ankara","2024-02-28","20:30:00","https://www.biletix.com/performance/3L624/001/TURKIYE/tr"
"Murat Çidamlı","Theatre","Arts & Theatre","Oran, Zülfü Tiğrel Cd. No:3, 06450","Ankara","Yaşar Kemal Kültür ve Sanat Merkezi","2024-02-29","20:00:00","https://www.biletix.com/performance/3ZV36/001/TURKIYE/tr"
"Erdal Beşikçioğlu","Theatre","Arts & Theatre","Güneş Sok. No: 21","Ankara","Tatbikat Stage Ankara","2024-02-29","20:30:00","https://www.biletix.com/performance/36S46/001/TURKIYE/tr"
"Serdar Biliş","Theatre","Arts & Theatre","Söğütözü Cad. No:1/A","Ankara","Congresium Ankara","2024-02-29","20:00:00","https://www.biletix.com/performance/3PN12/001/TURKIYE/tr"
"Cantuğ Turay","Theatre","Arts & Theatre","İvedik Caddesi Yenimahalle Belediyesi yanı Yenimahalle /Ankara","Ankara","Yenimahalle Bld.4 Mevsim Tiyatro Salonu","2024-02-29","20:00:00","https://www.biletix.com/performance/3RS20/001/TURKIYE/tr"
